L_kpc	mDM_GeV	R_GV	flux
1	10.94	1.37331724e-01	3.13769398e-06
1	10.94	1.39801434e-01	3.30281109e-06
1	10.94	1.42315558e-01	3.47646034e-06
1	10.94	1.44874895e-01	3.65907060e-06
1	10.94	1.47480258e-01	3.85109137e-06
1	10.94	1.50132474e-01	4.05299371e-06
1	10.94	1.52832387e-01	4.26527120e-06
1	10.94	1.55580853e-01	4.48844091e-06
1	10.94	1.58378747e-01	4.72304448e-06
1	10.94	1.61226957e-01	4.96964914e-06
1	10.94	1.64126387e-01	5.22884883e-06
1	10.94	1.67077960e-01	5.50126537e-06
1	10.94	1.70082612e-01	5.78754966e-06
1	10.94	1.73141299e-01	6.08838286e-06
1	10.94	1.76254991e-01	6.40447771e-06
1	10.94	1.79424679e-01	6.73657987e-06
1	10.94	1.82651369e-01	7.08546925e-06
1	10.94	1.85936087e-01	7.45196145e-06
1	10.94	1.89279875e-01	7.83690918e-06
1	10.94	1.92683796e-01	8.24120378e-06
1	10.94	1.96148932e-01	8.66577666e-06
1	10.94	1.99676383e-01	9.11160059e-06
1	10.94	2.03267270e-01	9.57951105e-06
1	10.94	2.06922734e-01	1.00702489e-05
1	10.94	2.10643936e-01	1.05848222e-05
1	10.94	2.14432059e-01	1.11242721e-05
1	10.94	2.18288306e-01	1.16896752e-05
1	10.94	2.22213901e-01	1.22821438e-05
1	10.94	2.26210092e-01	1.29028257e-05
1	10.94	2.30278150e-01	1.35529041e-05
1	10.94	2.34419365e-01	1.42335980e-05
1	10.94	2.38635054e-01	1.49461613e-05
1	10.94	2.42926555e-01	1.56918829e-05
1	10.94	2.47295234e-01	1.64720859e-05
1	10.94	2.51742476e-01	1.72881270e-05
1	10.94	2.56269696e-01	1.81413955e-05
1	10.94	2.60878331e-01	1.90333137e-05
1	10.94	2.65569845e-01	1.99653348e-05
1	10.94	2.70345730e-01	2.09389412e-05
1	10.94	2.75207502e-01	2.19556431e-05
1	10.94	2.80156706e-01	2.30169765e-05
1	10.94	2.85194914e-01	2.41245008e-05
1	10.94	2.90323726e-01	2.52797967e-05
1	10.94	2.95544773e-01	2.64844636e-05
1	10.94	3.00859713e-01	2.77401162e-05
1	10.94	3.06270234e-01	2.90483820e-05
1	10.94	3.11778056e-01	3.04108973e-05
1	10.94	3.17384927e-01	3.18293035e-05
1	10.94	3.23092630e-01	3.33052431e-05
1	10.94	3.28902978e-01	3.48403549e-05
1	10.94	3.34817816e-01	3.64362700e-05
1	10.94	3.40839024e-01	3.80946072e-05
1	10.94	3.46968515e-01	3.98169676e-05
1	10.94	3.53208235e-01	4.16049300e-05
1	10.94	3.59560168e-01	4.34600456e-05
1	10.94	3.66026331e-01	4.53838326e-05
1	10.94	3.72608778e-01	4.73777527e-05
1	10.94	3.79309601e-01	4.94430811e-05
1	10.94	3.86130928e-01	5.15809211e-05
1	10.94	3.93074927e-01	5.37922277e-05
1	10.94	4.00143804e-01	5.60777830e-05
1	10.94	4.07339804e-01	5.84381686e-05
1	10.94	4.14665214e-01	6.08737356e-05
1	10.94	4.22122360e-01	6.33846068e-05
1	10.94	4.29713613e-01	6.59708600e-05
1	10.94	4.37441382e-01	6.86324375e-05
1	10.94	4.45308125e-01	7.13690500e-05
1	10.94	4.53316339e-01	7.41801593e-05
1	10.94	4.61468569e-01	7.70649584e-05
1	10.94	4.69767406e-01	8.00223406e-05
1	10.94	4.78215484e-01	8.30508472e-05
1	10.94	4.86815489e-01	8.61486639e-05
1	10.94	4.95570152e-01	8.93136034e-05
1	10.94	5.04482256e-01	9.25430814e-05
1	10.94	5.13554630e-01	9.58341171e-05
1	10.94	5.22790158e-01	9.91833789e-05
1	10.94	5.32191773e-01	1.02587120e-04
1	10.94	5.41762462e-01	1.06041145e-04
1	10.94	5.51505266e-01	1.09540799e-04
1	10.94	5.61423281e-01	1.13080986e-04
1	10.94	5.71519656e-01	1.16656156e-04
1	10.94	5.81797600e-01	1.20260276e-04
1	10.94	5.92260377e-01	1.23886842e-04
1	10.94	6.02911312e-01	1.27529038e-04
1	10.94	6.13753789e-01	1.31179708e-04
1	10.94	6.24791252e-01	1.34831294e-04
1	10.94	6.36027207e-01	1.38475971e-04
1	10.94	6.47465225e-01	1.42105909e-04
1	10.94	6.59108938e-01	1.45713118e-04
1	10.94	6.70962047e-01	1.49289649e-04
1	10.94	6.83028317e-01	1.52828999e-04
1	10.94	6.95311580e-01	1.56325747e-04
1	10.94	7.07815740e-01	1.59775084e-04
1	10.94	7.20544769e-01	1.63173085e-04
1	10.94	7.33502712e-01	1.66516846e-04
1	10.94	7.46693683e-01	1.69806694e-04
1	10.94	7.60121875e-01	1.73061469e-04
1	10.94	7.73791554e-01	1.76312923e-04
1	10.94	7.87707061e-01	1.79580534e-04
1	10.94	8.01872819e-01	1.82824251e-04
1	10.94	8.16293327e-01	1.85984004e-04
1	10.94	8.30973166e-01	1.89018976e-04
1	10.94	8.45917001e-01	1.91914789e-04
1	10.94	8.61129579e-01	1.94656537e-04
1	10.94	8.76615733e-01	1.97224625e-04
1	10.94	8.92380383e-01	1.99597587e-04
1	10.94	9.08428537e-01	2.01757330e-04
1	10.94	9.24765293e-01	2.03688479e-04
1	10.94	9.41395842e-01	2.05376405e-04
1	10.94	9.58325468e-01	2.06807551e-04
1	10.94	9.75559547e-01	2.07969711e-04
1	10.94	9.93103556e-01	2.08853086e-04
1	10.94	1.01096307e+00	2.09451536e-04
1	10.94	1.02914376e+00	2.09767452e-04
1	10.94	1.04765140e+00	2.09806012e-04
1	10.94	1.06649188e+00	2.09571345e-04
1	10.94	1.08567117e+00	2.09086641e-04
1	10.94	1.10519538e+00	2.08447897e-04
1	10.94	1.12507070e+00	2.07715389e-04
1	10.94	1.14530345e+00	2.06801504e-04
1	10.94	1.16590005e+00	2.05607049e-04
1	10.94	1.18686705e+00	2.04097845e-04
1	10.94	1.20821112e+00	2.02249624e-04
1	10.94	1.22993903e+00	2.00041405e-04
1	10.94	1.25205768e+00	1.97462263e-04
1	10.94	1.27457410e+00	1.94511610e-04
1	10.94	1.29749545e+00	1.91196401e-04
1	10.94	1.32082900e+00	1.87534858e-04
1	10.94	1.34458218e+00	1.83565050e-04
1	10.94	1.36876252e+00	1.79335686e-04
1	10.94	1.39337771e+00	1.74914776e-04
1	10.94	1.41843556e+00	1.70466224e-04
1	10.94	1.44394405e+00	1.66170466e-04
1	10.94	1.46991127e+00	1.62059665e-04
1	10.94	1.49634547e+00	1.58034776e-04
1	10.94	1.52325505e+00	1.53894951e-04
1	10.94	1.55064856e+00	1.49550978e-04
1	10.94	1.57853470e+00	1.44978247e-04
1	10.94	1.60692234e+00	1.40160591e-04
1	10.94	1.63582048e+00	1.35104246e-04
1	10.94	1.66523832e+00	1.29839932e-04
1	10.94	1.69518519e+00	1.24427970e-04
1	10.94	1.72567061e+00	1.18931117e-04
1	10.94	1.75670427e+00	1.13477392e-04
1	10.94	1.78829602e+00	1.08335895e-04
1	10.94	1.82045591e+00	1.03540161e-04
1	10.94	1.85319414e+00	9.89329108e-05
1	10.94	1.88652112e+00	9.43568179e-05
1	10.94	1.92044744e+00	8.97243735e-05
1	10.94	1.95498387e+00	8.50110729e-05
1	10.94	1.99014139e+00	8.02159194e-05
1	10.94	2.02593117e+00	7.53675832e-05
1	10.94	2.06236458e+00	7.05220557e-05
1	10.94	2.09945318e+00	6.57639260e-05
1	10.94	2.13720877e+00	6.12445113e-05
1	10.94	2.17564334e+00	5.71279954e-05
1	10.94	2.21476910e+00	5.34646023e-05
1	10.94	2.25459848e+00	5.00227120e-05
1	10.94	2.29514413e+00	4.66625357e-05
1	10.94	2.33641893e+00	4.33504922e-05
1	10.94	2.37843600e+00	4.00649754e-05
1	10.94	2.42120869e+00	3.68174680e-05
1	10.94	2.46475058e+00	3.36411598e-05
1	10.94	2.50907551e+00	3.06035018e-05
1	10.94	2.55419756e+00	2.78021611e-05
1	10.94	2.60013106e+00	2.53455820e-05
1	10.94	2.64689061e+00	2.31769160e-05
1	10.94	2.69449106e+00	2.11513867e-05
1	10.94	2.74294753e+00	1.92127288e-05
1	10.94	2.79227542e+00	1.73387821e-05
1	10.94	2.84249041e+00	1.55254563e-05
1	10.94	2.89360843e+00	1.37885722e-05
1	10.94	2.94564574e+00	1.21517538e-05
1	10.94	2.99861886e+00	1.06949560e-05
1	10.94	3.05254463e+00	9.45377420e-06
1	10.94	3.10744017e+00	8.38955830e-06
1	10.94	3.16332293e+00	7.43355612e-06
1	10.94	3.22021066e+00	6.54809681e-06
1	10.94	3.27812143e+00	5.71758974e-06
1	10.94	3.33707365e+00	4.93773580e-06
1	10.94	3.39708603e+00	4.21672551e-06
1	10.94	3.45817764e+00	3.56522697e-06
1	10.94	3.52036790e+00	3.02344653e-06
1	10.94	3.58367656e+00	2.59905449e-06
1	10.94	3.64812373e+00	2.24661843e-06
1	10.94	3.71372989e+00	1.93872040e-06
1	10.94	3.78051589e+00	1.66368678e-06
1	10.94	3.84850293e+00	1.41435634e-06
1	10.94	3.91771261e+00	1.18850301e-06
1	10.94	3.98816694e+00	9.86752673e-07
1	10.94	4.05988828e+00	8.19873523e-07
1	10.94	4.13289942e+00	6.89332340e-07
1	10.94	4.20722356e+00	5.82896392e-07
1	10.94	4.28288431e+00	4.92734091e-07
1	10.94	4.35990571e+00	4.14219079e-07
1	10.94	4.43831223e+00	3.44722094e-07
1	10.94	4.51812877e+00	2.82938962e-07
1	10.94	4.59938070e+00	2.28609876e-07
1	10.94	4.68209382e+00	1.84021591e-07
1	10.94	4.76629442e+00	1.48187223e-07
1	10.94	4.85200924e+00	1.18531950e-07
1	10.94	4.93926552e+00	9.31460416e-08
1	10.94	5.02809098e+00	7.09232021e-08
1	10.94	5.11851383e+00	5.17197649e-08
1	10.94	5.21056280e+00	3.49472693e-08
1	10.94	5.30426714e+00	2.16973451e-08
1	10.94	5.39965661e+00	1.29870297e-08
1	10.94	5.49676153e+00	7.73575349e-09
1	10.94	5.59561273e+00	4.59278100e-09
1	10.94	5.69624163e+00	2.71442341e-09
1	10.94	5.79868019e+00	1.59761212e-09
1	10.94	5.90296096e+00	9.36361669e-10
1	10.94	6.00911706e+00	5.46472362e-10
1	10.94	6.11718223e+00	3.17577729e-10
1	10.94	6.22719079e+00	1.83772382e-10
1	10.94	6.33917769e+00	1.05889571e-10
1	10.94	6.45317852e+00	6.07524827e-11
1	10.94	6.56922948e+00	3.47062056e-11
1	10.94	6.68736745e+00	1.97413566e-11
1	10.94	6.80762996e+00	1.11806571e-11
1	10.94	6.93005521e+00	6.30479306e-12
1	10.94	7.05468210e+00	3.53980038e-12
1	10.94	7.18155022e+00	1.97870263e-12
1	10.94	7.31069988e+00	1.10119265e-12
1	10.94	7.44217211e+00	6.10115090e-13
1	10.94	7.57600867e+00	3.36517642e-13
1	10.94	7.71225209e+00	1.84769602e-13
1	10.94	7.85094564e+00	1.00984759e-13
1	10.94	7.99213340e+00	5.49359696e-14
1	10.94	8.13586021e+00	2.97442857e-14
1	10.94	8.28217174e+00	1.60274158e-14
1	10.94	8.43111446e+00	8.59412368e-15
1	10.94	8.58273571e+00	4.58543506e-15
1	10.94	8.73708363e+00	2.43422755e-15
